TIME,NODEUUID,BLEUUID,RSSI,PACKETID
3:42:24,123:231:213:90:88:11,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
3:43:13,123:231:213:90:88:11,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
3:44:3,123:231:213:90:88:11,234:210:11:40:111:36,75,5:2:12:4:5:6:42:88
3:44:51,123:231:213:90:88:11,234:210:11:40:111:36,61,5:2:12:4:5:6:42:88
3:45:38,123:231:213:90:88:11,234:210:11:40:111:36,69,5:2:12:4:5:6:42:88
3:46:31,123:231:213:90:88:11,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
3:47:18,123:231:213:90:88:11,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
3:48:3,123:231:213:90:88:11,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
3:48:48,123:231:213:90:88:11,234:210:11:40:111:36,69,5:2:12:4:5:6:42:88
3:49:38,123:231:213:90:88:11,234:210:11:40:111:36,69,5:2:12:4:5:6:42:88
3:50:27,123:231:213:90:88:11,234:210:11:40:111:36,70,5:2:12:4:5:6:42:88
3:51:16,123:231:213:90:88:11,234:210:11:40:111:36,69,5:2:12:4:5:6:42:88
3:52:4,123:231:213:90:88:11,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
3:52:53,123:231:213:90:88:11,234:210:11:40:111:36,70,5:2:12:4:5:6:42:88
3:53:39,123:231:213:90:88:11,234:210:11:40:111:36,77,5:2:12:4:5:6:42:88
3:54:28,123:231:213:90:88:11,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
3:55:17,123:231:213:90:88:11,234:210:11:40:111:36,69,5:2:12:4:5:6:42:88
3:56:3,123:231:213:90:88:11,234:210:11:40:111:36,69,5:2:12:4:5:6:42:88
3:56:52,123:231:213:90:88:11,234:210:11:40:111:36,69,5:2:12:4:5:6:42:88
3:57:41,123:231:213:90:88:11,234:210:11:40:111:36,69,5:2:12:4:5:6:42:88
3:58:30,123:231:213:90:88:11,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
3:59:20,123:231:213:90:88:11,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
4:0:4,123:231:213:90:88:11,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
4:0:53,123:231:213:90:88:11,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
4:1:43,123:231:213:90:88:11,234:210:11:40:111:36,67,5:2:12:4:5:6:42:88
4:2:31,123:231:213:90:88:11,234:210:11:40:111:36,69,5:2:12:4:5:6:42:88
4:3:20,123:231:213:90:88:11,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
4:4:9,123:231:213:90:88:11,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
4:4:58,123:231:213:90:88:11,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
4:5:42,123:231:213:90:88:11,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
4:6:34,123:231:213:90:88:11,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
4:7:19,123:231:213:90:88:11,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
4:8:8,123:231:213:90:88:11,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
4:8:57,123:231:213:90:88:11,234:210:11:40:111:36,68,5:2:12:4:5:6:42:88
4:9:43,123:231:213:90:88:11,234:210:11:40:111:36,68,5:2:12:4:5:6:42:88
4:10:35,123:231:213:90:88:11,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
4:11:20,123:231:213:90:88:11,234:210:11:40:111:36,69,5:2:12:4:5:6:42:88
4:12:9,123:231:213:90:88:11,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
4:13:0,123:231:213:90:88:11,234:210:11:40:111:36,81,5:2:12:4:5:6:42:88
4:13:43,123:231:213:90:88:11,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
4:14:37,123:231:213:90:88:11,234:210:11:40:111:36,69,5:2:12:4:5:6:42:88
4:15:20,123:231:213:90:88:11,234:210:11:40:111:36,69,5:2:12:4:5:6:42:88
4:16:9,123:231:213:90:88:11,234:210:11:40:111:36,69,5:2:12:4:5:6:42:88
4:16:58,123:231:213:90:88:11,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
4:17:48,123:231:213:90:88:11,234:210:11:40:111:36,69,5:2:12:4:5:6:42:88
4:18:37,123:231:213:90:88:11,234:210:11:40:111:36,69,5:2:12:4:5:6:42:88
4:19:21,123:231:213:90:88:11,234:210:11:40:111:36,69,5:2:12:4:5:6:42:88
4:20:10,123:231:213:90:88:11,234:210:11:40:111:36,80,5:2:12:4:5:6:42:88
4:20:58,123:231:213:90:88:11,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
4:21:47,123:231:213:90:88:11,234:210:11:40:111:36,72,5:2:12:4:5:6:42:88
4:22:34,123:231:213:90:88:11,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
4:24:11,123:231:213:90:88:11,234:210:11:40:111:36,69,5:2:12:4:5:6:42:88
4:24:14,123:231:213:90:88:11,234:210:11:40:111:36,71,5:2:12:4:5:6:42:88
4:24:59,123:231:213:90:88:11,234:210:11:40:111:36,79,5:2:12:4:5:6:42:88
4:25:48,123:231:213:90:88:11,234:210:11:40:111:36,78,5:2:12:4:5:6:42:88
